fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2706976,"Barbecue pork sandwich, on wheat bun",Survey (FNDDS),238,15.52,23.3,8.86,2,
2706975,"Barbecue pork sandwich, on white bun",Survey (FNDDS),243,14.97,24.86,8.83,0.8,
2706400,"Barbecue pork, no sauce",Survey (FNDDS),249,24.75,0,15.87,0,
2706399,"Barbecue pork, with sauce",Survey (FNDDS),226,17.57,12.23,11.3,0.3,
2706974,Barbecue rib sandwich,Survey (FNDDS),223,13.66,26.5,6.47,0.9,
2706882,"Barbecue sandwich, NFS",Survey (FNDDS),238,15.34,24.86,8.12,0.8,
2709750,Barbecue sauce,Survey (FNDDS),172,0.82,40.77,0.63,0.9,
2705700,"Barfi or Burfi, Indian dessert",Survey (FNDDS),284,5.42,40.43,11.36,0.4,
2708361,Barley,Survey (FNDDS),139,2.2,27.23,2.74,3.7,
2708045,Basbousa,Survey (FNDDS),282,4.81,43.76,9.94,0.8,
2709780,"Basil, raw",Survey (FNDDS),23,3.15,2.65,0.64,1.6,
2707409,Bean cake,Survey (FNDDS),414,5.8,49.88,21.41,3,
2707428,Bean chips,Survey (FNDDS),448,14.6,53.12,21.58,9.7,
2707400,"Bean dip, made with refried beans",Survey (FNDDS),119,5.44,15.89,3.7,4.9,
2710309,"Bean paste, sweetened",Survey (FNDDS),226,6.22,49.98,0.47,5.3,
2710009,"Bean salad, yellow and/or green string beans",Survey (FNDDS),109,3.52,13,5,3.4,
2709871,"Bean sprouts, cooked",Survey (FNDDS),116,9.8,6.08,6.93,3.3,
2709768,"Bean sprouts, raw",Survey (FNDDS),30,3.04,5.94,0.18,1.8,
2709033,Beans and brown rice,Survey (FNDDS),162,6.4,24.29,4.54,3.9,
2707405,Beans and franks,Survey (FNDDS),138,6.74,17.29,5.22,3.3,
2708986,"Beans and rice, from fast food / restaurant",Survey (FNDDS),185,6.29,24.41,6.99,3.6,
2708992,"Beans and rice, with meat",Survey (FNDDS),162,7.49,23.54,4.24,4.4,
2708991,"Beans and rice, with tomatoes",Survey (FNDDS),137,4.7,21.9,3.46,3.8,
2707394,"Beans and tomatoes, fat added",Survey (FNDDS),142,6.05,17.84,5.58,6.1,
2707393,"Beans and tomatoes, no added fat",Survey (FNDDS),101,6.37,18.76,0.51,6.4,
2708990,Beans and white rice,Survey (FNDDS),164,6.5,25.19,4.21,3.7,
2707407,"Beans with meat, NS as to type",Survey (FNDDS),184,10.7,20.56,6.88,7.1,
2707350,"Beans, from canned, NS as to type, fat added",Survey (FNDDS),185,7.66,24.1,6.83,8,
2707351,"Beans, from canned, NS as to type, no added fat",Survey (FNDDS),136,7.96,25.04,0.81,8.3,
2707348,"Beans, from dried, NS as to type, fat added",Survey (FNDDS),189,8.34,23.78,7.08,8.3,
2707349,"Beans, from dried, NS as to type, no added fat",Survey (FNDDS),139,8.92,25.44,0.62,8.9,
2707352,"Beans, from fast food / restaurant, NS as to type",Survey (FNDDS),206,8.77,22.6,9.32,5.7,
2707347,"Beans, NFS",Survey (FNDDS),189,8.34,23.78,7.08,8.3,
2705918,Bear,Survey (FNDDS),257,32.16,0,13.28,0,
2705924,Beaver,Survey (FNDDS),210,34.57,0,6.9,0,
2706738,Beef and broccoli,Survey (FNDDS),160,10.43,5.09,10.63,1.3,
2706481,Beef and macaroni with cheese sauce,Survey (FNDDS),137,9.12,12.26,5.42,0.5,
2706485,Beef and noodles with cream or white sauce,Survey (FNDDS),140,7.86,15.02,5.33,0.6,
2706484,Beef and noodles with gravy,Survey (FNDDS),139,7.7,15.39,5.07,0.7,
2706487,Beef and noodles with mushroom sauce,Survey (FNDDS),136,7.54,14.96,5.14,0.8,
2706488,Beef and noodles with soy-based sauce,Survey (FNDDS),173,13.19,7.54,10.05,0.6,
2706482,Beef and noodles with tomato-based sauce,Survey (FNDDS),115,8.74,10.67,3.93,0.4,
2706480,"Beef and noodles, no sauce",Survey (FNDDS),189,11.37,16.24,8.41,0.8,
2706478,Beef and potatoes with cheese sauce,Survey (FNDDS),126,8.15,11.1,5.6,0.9,
2706475,"Beef and potatoes with cream sauce, white sauce or mushroom sauce",Survey (FNDDS),100,8.04,8.66,3.79,0.7,
2706474,"Beef and potatoes, no sauce",Survey (FNDDS),133,7.92,14.52,4.93,1.3,
2706498,Beef and rice with cheese sauce,Survey (FNDDS),142,8.08,14.66,5.35,0.4,
2706494,Beef and rice with cream sauce,Survey (FNDDS),139,6.7,15.9,5.24,0.2,
2706493,Beef and rice with gravy,Survey (FNDDS),137,6.28,15.98,5.12,0.2,
2706495,Beef and rice with mushroom sauce,Survey (FNDDS),135,6.25,15.53,5.18,0.4,
2706497,Beef and rice with soy-based sauce,Survey (FNDDS),178,13.58,7.96,10.26,0.5,
2706491,Beef and rice with tomato-based sauce,Survey (FNDDS),136,6.39,15.88,5.15,0.7,
2706489,"Beef and rice, no sauce",Survey (FNDDS),146,7.27,17.23,5,0.2,
2706753,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",Survey (FNDDS),122,8.11,6.47,7.34,0.9,
2706729,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Survey (FNDDS),121,10.03,5.16,7.09,1.1,
2706744,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),147,12.13,4.34,9.15,1,
2706752,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",Survey (FNDDS),115,8.06,4.5,7.34,1,
2706728,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Survey (FNDDS),116,11.41,3,6.73,1.4,
2706737,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),144,11.72,4.65,8.81,1.2,
2706746,"Beef and vegetables, Hawaiian style",Survey (FNDDS),93,4.79,14.24,2.24,1.8,
2710780,Beef as ingredient in recipes,Survey (FNDDS),261,26.44,0,16.52,0,
2706371,Beef burgundy,Survey (FNDDS),148,18.48,4.19,6,0.8,
2706607,Beef chow mein or chop suey with noodles,Survey (FNDDS),129,10.78,11.17,4.89,1.5,
2706742,"Beef chow mein or chop suey, no noodles",Survey (FNDDS),82,10.76,3.85,2.61,0.8,
2706388,Beef curry,Survey (FNDDS),113,7.57,6.53,6.57,1.4,
2706389,Beef curry with rice,Survey (FNDDS),119,5.61,15.12,4.05,1,
2707096,"Beef dinner, NFS, frozen meal",Survey (FNDDS),146,6.82,10.94,8.4,1.2,
2707197,Beef egg foo yung,Survey (FNDDS),147,13.82,4.78,8.08,0.3,
2705860,Beef jerky,Survey (FNDDS),410,33.2,11,25.6,1.8,
