fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g
2710748,Energy drink (Mountain Dew AMP),Survey (FNDDS),46.0,0.25,12.08,0.08,0.0
2710750,Energy drink (No Fear Motherload),Survey (FNDDS),62.0,0.42,15.0,0.0,0.0
2710749,Energy drink (No Fear),Survey (FNDDS),62.0,0.42,15.0,0.0,0.0
2710751,Energy drink (NOS),Survey (FNDDS),44.0,0.0,11.25,0.0,0.0
2710762,Energy drink (Ocean Spray Cran-Energy Juice Drink),Survey (FNDDS),15.0,0.0,3.75,0.0,0.0
2710752,Energy drink (Red Bull),Survey (FNDDS),43.0,0.46,10.23,0.0,0.0
2710753,Energy drink (Rockstar),Survey (FNDDS),58.0,0.34,12.7,0.22,0.0
2710754,Energy drink (SoBe Energize Energy Juice Drink),Survey (FNDDS),45.0,0.0,11.27,0.0,0.0
2710755,Energy drink (Vault),Survey (FNDDS),49.0,0.0,12.99,0.0,0.0
2710767,Energy drink (XS Gold Plus),Survey (FNDDS),5.0,0.25,0.7,0.08,0.0
2710766,Energy drink (XS),Survey (FNDDS),5.0,0.25,0.7,0.08,0.0
2710757,"Energy drink, low calorie (Monster)",Survey (FNDDS),5.0,0.0,1.38,0.0,0.0
2710768,"Energy drink, sugar free",Survey (FNDDS),4.0,0.25,0.7,0.08,0.0
2710758,"Energy drink, sugar free (Monster)",Survey (FNDDS),5.0,0.0,1.38,0.0,0.0
2710759,"Energy drink, sugar free (Mountain Dew AMP)",Survey (FNDDS),2.0,0.0,1.03,0.0,0.0
2710760,"Energy drink, sugar free (No Fear)",Survey (FNDDS),4.0,0.42,0.42,0.0,0.0
2710764,"Energy drink, sugar free (Rockstar)",Survey (FNDDS),4.0,0.25,0.7,0.08,0.0
2710765,"Energy drink, sugar free (Vault)",Survey (FNDDS),1.0,0.25,0.7,0.08,0.0
2710761,"Energy drink, sugar-free (NOS)",Survey (FNDDS),4.0,0.0,1.03,0.0,0.0
2710763,"Energy drink, sugar-free (Red Bull)",Survey (FNDDS),5.0,0.25,0.7,0.08,0.0
2706368,Escargot,Survey (FNDDS),158.0,19.99,2.48,6.91,0.0
2709592,"Escarole, cooked",Survey (FNDDS),37.0,1.12,2.98,2.72,2.7
2708605,"Fajita, beef or pork",Survey (FNDDS),231.0,12.07,17.99,12.24,1.5
2708604,"Fajita, chicken",Survey (FNDDS),206.0,11.33,17.99,9.8,1.5
2708603,"Fajita, NFS",Survey (FNDDS),219.0,11.7,17.99,11.02,1.5
2708606,"Fajita, shrimp",Survey (FNDDS),189.0,8.33,18.35,8.92,1.5
2708607,"Fajita, vegetable",Survey (FNDDS),166.0,3.22,20.43,7.84,2.0
2707408,Falafel,Survey (FNDDS),514.0,8.28,28.96,41.19,4.8
2707483,Falafel sandwich,Survey (FNDDS),265.0,6.22,27.04,14.76,2.5
2705892,"Fat back, cooked",Survey (FNDDS),750.0,2.68,0.0,81.93,0.0
2707367,"Fava beans, cooked",Survey (FNDDS),161.0,7.06,18.26,6.88,5.0
2709907,"Fennel bulb, cooked",Survey (FNDDS),62.0,1.42,8.32,3.22,3.5
2709236,"Fig, canned",Survey (FNDDS),76.0,0.56,19.36,0.24,2.2
2709204,"Fig, dried",Survey (FNDDS),277.0,3.3,63.9,0.92,9.8
2705686,"Firni, Indian pudding",Survey (FNDDS),144.0,3.58,25.13,3.11,0.3
2706576,Fish and noodles with mushroom sauce,Survey (FNDDS),131.0,6.3,14.79,5.11,0.8
2706574,Fish and rice with cream sauce,Survey (FNDDS),133.0,5.54,15.76,4.98,0.2
2706575,Fish and rice with mushroom sauce,Survey (FNDDS),135.0,5.34,16.11,5.16,0.4
2706573,Fish and rice with tomato-based sauce,Survey (FNDDS),135.0,5.41,16.53,5.12,0.7
2706866,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),106.0,8.04,4.33,6.22,1.0
2706864,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",Survey (FNDDS),112.0,6.33,6.3,7.26,1.5
2706865,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),104.0,7.79,4.64,5.99,1.2
2706863,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",Survey (FNDDS),106.0,6.28,4.39,7.26,1.6
2706460,Fish curry,Survey (FNDDS),93.0,4.94,6.65,5.42,1.4
2706461,Fish curry with rice,Survey (FNDDS),107.0,4.03,15.19,3.36,1.0
2710784,"Fish fillet, fried as ingredient in sandwiches",Survey (FNDDS),195.0,18.16,8.27,10.08,0.3
2707119,"Fish in lemon-butter sauce with starch item, vegetable, frozen meal",Survey (FNDDS),101.0,5.46,10.98,3.78,1.1
2707020,"Fish sandwich, fried, from fast food",Survey (FNDDS),235.0,14.46,25.7,8.15,0.9
2707021,"Fish sandwich, fried, from fast food, with cheese",Survey (FNDDS),252.0,15.27,22.85,10.95,0.8
2707029,"Fish sandwich, fried, on wheat bun",Survey (FNDDS),229.0,15.16,23.77,8.19,2.4
2707030,"Fish sandwich, fried, on wheat bun, with cheese",Survey (FNDDS),247.0,15.88,21.18,10.98,2.1
2707027,"Fish sandwich, fried, on white bun",Survey (FNDDS),236.0,14.48,25.74,8.16,0.9
2707028,"Fish sandwich, fried, on white bun, with cheese",Survey (FNDDS),252.0,15.29,22.88,10.96,0.8
2707025,"Fish sandwich, from school cafeteria",Survey (FNDDS),209.0,15.0,27.4,4.34,3.5
2707031,"Fish sandwich, grilled",Survey (FNDDS),180.0,16.06,21.21,3.29,0.8
2707026,"Fish sandwich, NFS",Survey (FNDDS),252.0,15.27,22.85,10.95,0.8
2706457,Fish sauce,Survey (FNDDS),35.0,5.06,3.64,0.01,0.0
2706867,"Fish shish kabob with vegetables, excluding potatoes",Survey (FNDDS),68.0,9.41,5.06,1.05,0.8
2706448,Fish timbale or mousse,Survey (FNDDS),149.0,10.08,1.96,10.95,0.0
2706447,"Fish with cream or white sauce, not tuna or lobster",Survey (FNDDS),116.0,17.05,2.75,3.64,0.0
2706459,Fish with tomato-based sauce,Survey (FNDDS),80.0,16.28,1.59,0.69,0.4
2707032,Fish wrap sandwich,Survey (FNDDS),262.0,14.73,22.61,12.44,1.4
2706232,"Fish, anchovy",Survey (FNDDS),210.0,28.89,0.0,9.71,0.0
2706295,"Fish, bass, baked or broiled",Survey (FNDDS),161.0,22.9,0.01,7.02,0.0
2706297,"Fish, bass, baked or broiled, coated",Survey (FNDDS),182.0,20.6,7.79,6.95,0.3
2706298,"Fish, bass, fried",Survey (FNDDS),238.0,15.93,11.72,13.69,0.5
2706296,"Fish, bass, grilled",Survey (FNDDS),143.0,23.37,0.0,4.8,0.0
2706294,"Fish, bass, NFS",Survey (FNDDS),161.0,22.9,0.01,7.02,0.0
2706299,"Fish, bass, steamed",Survey (FNDDS),123.0,23.28,0.0,2.53,0.0
2706550,"Fish, cake or patty",Survey (FNDDS),212.0,13.63,10.4,12.64,1.2
2706229,"Fish, canned",Survey (FNDDS),156.0,23.19,0.0,6.3,0.0
2706233,"Fish, carp",Survey (FNDDS),213.0,19.97,7.79,10.72,0.3
2706235,"Fish, catfish, baked or broiled",Survey (FNDDS),189.0,18.93,0.01,11.91,0.0
2706237,"Fish, catfish, baked or broiled, coated",Survey (FNDDS),205.0,17.24,7.79,11.08,0.3
2706238,"Fish, catfish, fried",Survey (FNDDS),255.0,13.49,11.72,16.68,0.5
2706236,"Fish, catfish, grilled",Survey (FNDDS),171.0,19.31,0.0,9.8,0.0
2706234,"Fish, catfish, NFS",Survey (FNDDS),255.0,13.49,11.72,16.68,0.5
2706239,"Fish, catfish, steamed",Survey (FNDDS),150.0,19.24,0.0,7.5,0.0
2706241,"Fish, cod, baked or broiled",Survey (FNDDS),126.0,18.98,0.01,5.04,0.0
2706243,"Fish, cod, baked or broiled, coated",Survey (FNDDS),152.0,17.29,7.79,5.28,0.3
2706244,"Fish, cod, fried",Survey (FNDDS),217.0,13.52,11.72,12.48,0.5
2706242,"Fish, cod, grilled",Survey (FNDDS),108.0,19.36,0.0,2.79,0.0
2706240,"Fish, cod, NFS",Survey (FNDDS),217.0,13.52,11.72,12.48,0.5
2706245,"Fish, cod, steamed",Survey (FNDDS),87.0,19.29,0.0,0.52,0.0
2710783,"Fish, cooked, as ingredient",Survey (FNDDS),82.0,19.37,0.0,0.56,0.0
2706246,"Fish, croaker",Survey (FNDDS),189.0,19.92,7.79,8.17,0.3
2706247,"Fish, eel",Survey (FNDDS),273.0,20.61,7.79,17.07,0.3
2706249,"Fish, flounder, baked or broiled",Survey (FNDDS),128.0,15.42,0.01,6.93,0.0
2706251,"Fish, flounder, baked or broiled, coated",Survey (FNDDS),153.0,14.29,7.79,6.87,0.3
2706252,"Fish, flounder, fried",Survey (FNDDS),217.0,11.35,11.72,13.64,0.5
