calories,protein_g,carbs_g,fat_g,fiber_g
49.0,1.94,5.02,2.93,2.0
41.0,1.59,8.98,0.25,1.7
264.0,24.6,4.0,17.9,0.0
17.0,0.49,3.32,0.16,1.6
42.0,0.52,3.46,2.9,1.7
18.0,0.53,3.57,0.17,1.7
35.0,0.41,7.61,0.15,1.3
415.0,5.71,72.27,11.43,3.8
471.0,10.1,64.4,19.8,5.3
487.0,9.14,61.14,22.86,2.9
365.0,4.22,67.61,8.67,3.0
365.0,4.22,67.61,8.67,3.0
409.0,9.09,72.73,9.09,1.8
412.0,5.55,69.4,12.5,3.1
408.0,4.17,79.17,8.33,4.2
480.0,7.52,64.96,20.42,3.2
418.0,5.65,70.2,16.57,3.8
451.0,7.17,66.27,17.5,5.7
536.0,9.6,54.1,31.2,3.8
480.0,7.52,64.96,20.42,3.2
508.0,10.2,53.4,31.1,2.8
408.0,4.17,79.17,8.33,4.2
471.0,10.1,64.4,19.8,5.3
455.0,8.6,60.13,20.0,4.3
471.0,10.1,64.4,19.8,5.3
412.0,5.55,69.4,12.5,3.1
417.0,3.4,80.5,9.0,0.0
423.0,5.71,74.29,11.43,4.4
380.0,5.35,81.85,4.24,1.4
388.0,5.39,81.02,4.98,5.0
414.0,5.88,75.23,9.92,5.1
64.0,2.21,11.36,1.09,1.7
375.0,4.77,84.68,1.27,2.6
365.0,6.4,79.52,1.6,3.5
369.0,7.88,77.14,2.61,5.4
380.0,5.58,80.74,3.32,4.7
398.0,4.31,82.08,5.53,2.7
380.0,5.66,83.81,2.16,2.2
384.0,4.28,82.9,3.89,0.3
383.0,5.14,82.24,3.23,5.4
356.0,19.04,68.01,1.58,3.2
392.0,7.43,76.25,6.06,4.6
384.0,5.37,81.44,4.61,3.2
383.0,4.71,82.57,3.56,2.9
381.0,6.88,78.46,4.44,4.8
422.0,7.34,73.05,11.1,5.0
372.0,4.95,86.01,0.92,0.3
358.0,6.96,79.81,1.21,0.4
357.0,7.01,77.43,2.19,5.4
63.0,10.53,3.58,0.76,0.5
120.0,0.16,11.5,0.06,0.1
89.0,4.1,8.79,4.33,3.0
44.0,1.88,3.9,2.95,1.7
362.0,21.92,2.4,29.34,0.0
358.0,20.39,5.04,28.44,0.0
163.0,3.14,7.86,13.27,0.3
143.0,3.14,11.14,9.51,0.7
567.0,5.46,54.54,36.54,0.8
567.0,5.46,54.54,36.54,0.8
432.0,8.5,72.35,12.1,3.6
276.0,19.32,1.95,21.2,0.0
265.0,9.3,13.4,19.54,0.4
365.0,11.91,13.74,29.23,0.8
295.0,13.62,29.67,13.52,3.2
297.0,12.46,31.89,13.29,1.4
323.0,16.3,27.72,16.34,3.2
325.0,15.14,29.95,16.11,1.4
297.0,12.46,31.89,13.29,1.4
254.0,13.95,31.08,8.14,3.2
256.0,12.79,33.31,7.92,1.4
163.0,3.14,7.86,13.27,0.3
120.0,4.69,9.62,6.8,0.1
207.0,9.43,6.38,16.01,0.1
290.0,16.41,8.73,21.23,0.0
176.0,13.41,10.71,8.88,0.0
295.0,7.1,3.5,28.6,0.0
290.0,16.41,8.73,21.23,0.0
290.0,16.41,8.73,21.23,0.0
268.0,19.22,19.9,12.2,2.2
270.0,18.39,21.48,12.03,1.0
307.0,16.09,8.85,23.06,0.0
340.0,16.79,7.16,27.16,0.0
340.0,16.79,7.16,27.16,0.0
126.0,21.05,10.53,0.0,0.0
240.0,17.6,10.6,14.1,0.0
376.0,22.2,1.6,31.19,0.0
353.0,21.4,2.34,28.74,0.0
371.0,23.24,2.79,29.68,0.0
334.0,20.75,0.45,27.68,0.0
